FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,test
0,0,0,37036,122315,1743,29406,0,1340,0,0,0,0,1050681,663995,0,0,0,0,0,0,0,56787,187779,129230,18,206151,1387,5575,170545,74936,14460,327,0,200,212123,193,279,0,0,1805,697,0,274,0,964,0,404,43,43,479,5632,4334,129,1153,Cerber
0,0,0,37160,122315,1857,29447,0,1351,0,0,0,0,1050906,664000,0,0,0,0,0,0,0,56788,189369,129283,18,208188,1408,5581,172379,80782,14668,327,0,200,212123,193,279,0,0,1805,697,0,274,0,984,0,412,43,43,492,5910,4334,129,1187,Cerber
0,0,0,37174,122317,1861,29471,0,1354,0,0,0,0,1051101,664016,0,0,0,0,0,0,0,56788,190104,129283,18,212676,1408,5581,173345,80803,14729,327,0,200,212123,193,279,0,0,1805,697,0,274,0,984,0,414,45,45,495,5938,4334,129,1196,Cerber
0,0,0,37200,122318,1862,29483,0,1354,0,0,0,0,1135801,748585,0,0,0,0,0,0,0,56788,190447,129283,18,214920,1408,5581,173828,80812,14758,327,0,200,212123,193,279,0,0,1805,697,0,274,0,984,0,414,45,45,496,5952,4334,129,1196,Cerber
0,0,0,37202,122504,1869,29530,0,1362,0,0,0,0,1135915,748793,0,0,0,0,0,0,0,56795,193267,129302,18,218320,1415,5931,185547,81131,15175,333,0,202,214299,197,283,0,0,1822,706,0,282,0,999,0,419,45,45,503,5974,4334,129,1214,Cerber
0,0,0,37224,122506,1873,29573,0,1368,0,0,0,0,1136183,748821,0,0,0,0,0,0,0,56796,195108,129313,18,224473,1422,5937,187769,81699,15269,333,0,202,214299,197,283,0,0,1822,706,0,282,0,1000,0,420,46,46,509,6046,4334,129,1225,Cerber
0,0,0,37804,122659,1891,29601,0,1389,0,0,0,0,1160862,749027,0,0,0,0,0,0,0,56801,196205,129358,18,225227,1434,5996,189074,82203,15446,341,0,205,216475,203,292,0,0,1889,731,0,290,0,1015,0,426,46,46,513,6056,4367,130,1235,Cerber
0,0,0,37961,128693,1911,30819,0,1408,0,0,0,0,1170967,755170,0,0,0,0,0,0,0,60421,196678,129363,18,227585,1436,6002,189705,82238,15488,344,0,208,218203,203,292,0,0,1889,731,0,290,0,1019,0,426,47,47,516,6070,4605,137,1241,Cerber
0,0,0,38401,128809,1927,30841,0,1429,0,0,0,0,1195504,755350,0,0,0,0,0,0,0,60428,199000,129415,18,229263,1449,6400,192067,82503,15926,352,0,213,220379,209,301,0,0,1952,756,0,298,0,1037,0,434,47,47,523,6081,4605,137,1258,Cerber
0,0,0,38617,128809,2071,30886,0,1440,0,0,0,0,1195850,755355,0,0,0,0,0,0,0,60431,200578,129468,20,231298,1470,6406,193889,89467,16181,352,0,213,220379,209,301,0,0,1952,756,0,298,0,1056,0,442,47,47,536,6463,4605,137,1294,Cerber
