NtResumeThread,15,,,,
NtGetContextThread,2,,,,
NtSetContextThread,1,,,,
CreateProcessInternalW,1,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,3,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,888,,,,
SetFilePointerEx,0,,,,
GetFileSize,0,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,901,,,,
NtWriteFile,7250,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,135,,,,
RegCreateKeyExW,13,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,78,,,,
RegSetValueExW,4,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,122,,,,
NtQueryValueKey,127,,,,
NtOpenKey,141,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,98,,,,
CreateRemoteThread,0,,,,
NtResumeThread,16,,,,
NtGetContextThread,2,,,,
NtSetContextThread,1,,,,
CreateProcessInternalW,1,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,3,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,888,,,,
SetFilePointerEx,0,,,,
GetFileSize,0,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,902,,,,
NtWriteFile,7251,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,140,,,,
RegCreateKeyExW,13,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,79,,,,
RegSetValueExW,4,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,126,,,,
NtQueryValueKey,133,,,,
NtOpenKey,148,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,99,,,,
CreateRemoteThread,0,,,,
NtResumeThread,17,,,,
NtGetContextThread,2,,,,
NtSetContextThread,1,,,,
CreateProcessInternalW,1,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,3,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,888,,,,
SetFilePointerEx,0,,,,
GetFileSize,0,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,903,,,,
NtWriteFile,7252,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,145,,,,
RegCreateKeyExW,13,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,80,,,,
RegSetValueExW,4,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,130,,,,
NtQueryValueKey,139,,,,
NtOpenKey,155,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,100,,,,
CreateRemoteThread,0,,,,
NtResumeThread,18,,,,
NtGetContextThread,2,,,,
NtSetContextThread,1,,,,
CreateProcessInternalW,1,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,3,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,889,,,,
SetFilePointerEx,0,,,,
GetFileSize,0,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,905,,,,
NtWriteFile,7252,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,145,,,,
RegCreateKeyExW,13,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,80,,,,
RegSetValueExW,4,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,130,,,,
NtQueryValueKey,146,,,,
NtOpenKey,159,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,100,,,,
CreateRemoteThread,0,,,,
NtResumeThread,18,,,,
NtGetContextThread,2,,,,
NtSetContextThread,1,,,,
CreateProcessInternalW,2,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,9,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,889,,,,
SetFilePointerEx,0,,,,
GetFileSize,2,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,907,,,,
NtWriteFile,7253,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,147,,,,
RegCreateKeyExW,13,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,80,,,,
RegSetValueExW,4,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,132,,,,
NtQueryValueKey,173,,,,
NtOpenKey,210,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
