fc,fr,fs,cr,cs,rs,fp,cp,rp,sp,label
-0.106550767,-0.208065461,-0.073086074,-0.124643745,-0.062810269,0.609928354,-0.192911693,-0.035738831,0.552981834,-0.117053372,Cerber
-0.10643214,-0.057267422,0.302719959,-0.152158166,-0.058370598,0.393625769,-0.166188471,-0.091578796,0.652791587,-0.108504754,Locky
-0.105491863,-0.098287607,0.286002349,-0.152496275,-0.060379311,0.324525019,-0.171311441,-0.09263184,0.676236791,-0.109589203,Locky
-0.096123122,-0.210352766,-0.070101655,-0.135106343,-0.062269788,0.567047609,-0.169519529,-0.044166073,0.466483089,-0.116275749,Cerber
-0.106011524,-0.082348138,0.289095326,-0.152824145,-0.059229904,0.360223525,-0.170732778,-0.092033952,0.661638023,-0.108906386,Locky
0.042817083,-0.002240167,-0.074993132,-0.141727674,-0.062497683,-0.012405033,-0.138247945,-0.090830104,0.643443735,-0.073105866,Bengin
-0.083858075,-0.167918594,0.252996051,-0.12704728,-0.059827817,0.038675182,-0.10560593,-0.062726457,0.118741135,-0.064999794,Locky
0.080440099,-0.093622311,-0.19974196,-0.132350784,0.057707949,-0.173721605,-0.221378091,0.048613195,0.567691527,-0.155892952,CryptoWall
-0.098488198,-0.137097853,0.290929795,-0.145882245,-0.065888792,0.178430036,-0.137695754,-0.074532297,0.637314824,-0.086437143,Locky
-0.049166181,0.088446704,-0.084271124,-0.11078381,0.541267259,0.002657078,-0.101465589,-0.064526692,-0.093527474,-0.144507077,Genasom
0.085810419,-0.084905784,-0.046932794,-0.131267292,-0.062501011,0.050287242,-0.140871695,-0.092272765,0.712380826,-0.072147262,Bengin
-0.097185312,-0.179780222,-0.068845263,-0.115970448,-0.062362513,0.561377859,-0.167602982,-0.049225505,0.469720204,-0.11444173,Cerber
0.041327629,-0.054883467,-0.074113068,-0.130041107,-0.062499348,0.013978348,-0.133415904,-0.090754126,0.653995663,-0.073360236,Bengin
-0.09677583,-0.178329299,-0.069820195,-0.11563381,-0.062341862,0.567653986,-0.168030629,-0.050209706,0.479302116,-0.11514351,Cerber
-0.083866162,-0.167990862,0.25286388,-0.127075281,-0.059827817,0.038621579,-0.105746941,-0.062805476,0.118931604,-0.065078522,Locky
-0.107148491,-0.212500238,-0.07389197,-0.126236526,-0.062850805,0.598133308,-0.191364764,-0.036690036,0.559968788,-0.115710219,Cerber
0.00850505,-0.094137259,-0.209148293,-0.126069559,0.184528876,-0.181107797,-0.103040035,-0.062368016,0.553391629,-0.147326276,TeslaCrypt
-0.106472862,-0.061765262,0.3002902,-0.152427273,-0.058370598,0.388189591,-0.168595958,-0.09239962,0.655538147,-0.109514122,Locky
-0.04270801,-0.132143962,-0.177686329,-0.129491701,0.121973591,-0.18254701,-0.076158991,-0.062323765,0.581737091,-0.152807182,TeslaCrypt
0.091882801,-0.080760513,-0.045055792,-0.130563316,-0.062499348,0.047807664,-0.138888737,-0.091981081,0.695159837,-0.072404416,Bengin
